l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles
2kB,2kB,128kB,2,60074572
2kB,2kB,128kB,4,59887203
2kB,2kB,128kB,8,59724828
2kB,2kB,128kB,16,64568544
2kB,2kB,128kB,32,65910108
2kB,2kB,256kB,2,60057623
2kB,2kB,256kB,4,59856952
2kB,2kB,256kB,8,59709751
2kB,2kB,256kB,16,64552303
2kB,2kB,256kB,32,65901025
2kB,2kB,512kB,2,60038914
2kB,2kB,512kB,4,59849090
2kB,2kB,512kB,8,59688054
2kB,2kB,512kB,16,64541170
2kB,2kB,512kB,32,65893832
2kB,2kB,1024kB,2,60052826
2kB,2kB,1024kB,4,59867482
2kB,2kB,1024kB,8,59725550
2kB,2kB,1024kB,16,64588649
2kB,2kB,1024kB,32,65884428
4kB,2kB,128kB,2,59973831
4kB,2kB,128kB,4,59786300
4kB,2kB,128kB,8,59623577
4kB,2kB,128kB,16,64469007
4kB,2kB,128kB,32,65766011
4kB,2kB,256kB,2,59955045
4kB,2kB,256kB,4,59764149
4kB,2kB,256kB,8,59612108
4kB,2kB,256kB,16,64450101
4kB,2kB,256kB,32,65753408
4kB,2kB,512kB,2,59928792
4kB,2kB,512kB,4,59749304
4kB,2kB,512kB,8,59579241
4kB,2kB,512kB,16,64433528
4kB,2kB,512kB,32,65760993
4kB,2kB,1024kB,2,59912228
4kB,2kB,1024kB,4,59726312
4kB,2kB,1024kB,8,59581738
4kB,2kB,1024kB,16,64467540
4kB,2kB,1024kB,32,65767218
8kB,2kB,128kB,2,59874187
8kB,2kB,128kB,4,59680688
8kB,2kB,128kB,8,59528734
8kB,2kB,128kB,16,64369296
8kB,2kB,128kB,32,65724642
8kB,2kB,256kB,2,59858596
8kB,2kB,256kB,4,59667577
8kB,2kB,256kB,8,59509736
8kB,2kB,256kB,16,64353313
8kB,2kB,256kB,32,65716318
8kB,2kB,512kB,2,59838913
8kB,2kB,512kB,4,59655974
8kB,2kB,512kB,8,59499417
8kB,2kB,512kB,16,64344982
8kB,2kB,512kB,32,65707426
8kB,2kB,1024kB,2,59846965
8kB,2kB,1024kB,4,59661306
8kB,2kB,1024kB,8,59518151
8kB,2kB,1024kB,16,64395999
8kB,2kB,1024kB,32,65732001
16kB,2kB,128kB,2,42968165
16kB,2kB,128kB,4,42778400
16kB,2kB,128kB,8,42591707
16kB,2kB,128kB,16,47531800
16kB,2kB,128kB,32,48890592
16kB,2kB,256kB,2,42963967
16kB,2kB,256kB,4,42768945
16kB,2kB,256kB,8,42583486
16kB,2kB,256kB,16,47522132
16kB,2kB,256kB,32,48879801
16kB,2kB,512kB,2,42890243
16kB,2kB,512kB,4,42691082
16kB,2kB,512kB,8,42510564
16kB,2kB,512kB,16,47450150
16kB,2kB,512kB,32,48856968
16kB,2kB,1024kB,2,42917472
16kB,2kB,1024kB,4,42727990
16kB,2kB,1024kB,8,42538932
16kB,2kB,1024kB,16,47471305
16kB,2kB,1024kB,32,48815165
32kB,2kB,128kB,2,42608317
32kB,2kB,128kB,4,42386266
32kB,2kB,128kB,8,42301347
32kB,2kB,128kB,16,47180696
32kB,2kB,128kB,32,48470451
32kB,2kB,256kB,2,42591155
32kB,2kB,256kB,4,42383411
32kB,2kB,256kB,8,42235824
32kB,2kB,256kB,16,47156383
32kB,2kB,256kB,32,48457379
32kB,2kB,512kB,2,42577172
32kB,2kB,512kB,4,42346080
32kB,2kB,512kB,8,42217526
32kB,2kB,512kB,16,47147906
32kB,2kB,512kB,32,48463655
32kB,2kB,1024kB,2,42594398
32kB,2kB,1024kB,4,42389265
32kB,2kB,1024kB,8,42230377
32kB,2kB,1024kB,16,47154450
32kB,2kB,1024kB,32,48458107
64kB,2kB,128kB,2,42783093
64kB,2kB,128kB,4,42557795
64kB,2kB,128kB,8,42405270
64kB,2kB,128kB,16,47326041
64kB,2kB,128kB,32,48695575
64kB,2kB,256kB,2,42588066
64kB,2kB,256kB,4,42362950
64kB,2kB,256kB,8,42231717
64kB,2kB,256kB,16,47164074
64kB,2kB,256kB,32,48454562
64kB,2kB,512kB,2,42573572
64kB,2kB,512kB,4,42347391
64kB,2kB,512kB,8,42254645
64kB,2kB,512kB,16,47147096
64kB,2kB,512kB,32,48446022
64kB,2kB,1024kB,2,42584958
64kB,2kB,1024kB,4,42370989
64kB,2kB,1024kB,8,42223497
64kB,2kB,1024kB,16,47150571
64kB,2kB,1024kB,32,48464481
2kB,4kB,128kB,2,60025308
2kB,4kB,128kB,4,59832519
2kB,4kB,128kB,8,59669045
2kB,4kB,128kB,16,59579732
2kB,4kB,128kB,32,64134097
2kB,4kB,256kB,2,60016993
2kB,4kB,256kB,4,59813703
2kB,4kB,256kB,8,59667943
2kB,4kB,256kB,16,59575580
2kB,4kB,256kB,32,64124445
2kB,4kB,512kB,2,59990246
2kB,4kB,512kB,4,59792753
2kB,4kB,512kB,8,59641288
2kB,4kB,512kB,16,59561213
2kB,4kB,512kB,32,64106888
2kB,4kB,1024kB,2,60001420
2kB,4kB,1024kB,4,59812161
2kB,4kB,1024kB,8,59671046
2kB,4kB,1024kB,16,59592975
2kB,4kB,1024kB,32,64126505
4kB,4kB,128kB,2,59923558
4kB,4kB,128kB,4,59730752
4kB,4kB,128kB,8,59567374
4kB,4kB,128kB,16,59484646
4kB,4kB,128kB,32,63990645
4kB,4kB,256kB,2,59902575
4kB,4kB,256kB,4,59716224
4kB,4kB,256kB,8,59548882
4kB,4kB,256kB,16,59462725
4kB,4kB,256kB,32,63981870
4kB,4kB,512kB,2,59874572
4kB,4kB,512kB,4,59680918
4kB,4kB,512kB,8,59535848
4kB,4kB,512kB,16,59448497
4kB,4kB,512kB,32,63973169
4kB,4kB,1024kB,2,59857358
4kB,4kB,1024kB,4,59671545
4kB,4kB,1024kB,8,59536621
4kB,4kB,1024kB,16,59455710
4kB,4kB,1024kB,32,63998786
8kB,4kB,128kB,2,59831089
8kB,4kB,128kB,4,59638034
8kB,4kB,128kB,8,59481239
8kB,4kB,128kB,16,59386648
8kB,4kB,128kB,32,63967288
8kB,4kB,256kB,2,59807730
8kB,4kB,256kB,4,59606986
8kB,4kB,256kB,8,59461767
8kB,4kB,256kB,16,59369190
8kB,4kB,256kB,32,63940660
8kB,4kB,512kB,2,59782567
8kB,4kB,512kB,4,59589715
8kB,4kB,512kB,8,59437927
8kB,4kB,512kB,16,59356431
8kB,4kB,512kB,32,63944654
8kB,4kB,1024kB,2,59792157
8kB,4kB,1024kB,4,59609414
8kB,4kB,1024kB,8,59466444
8kB,4kB,1024kB,16,59382454
8kB,4kB,1024kB,32,63964621
16kB,4kB,128kB,2,42926516
16kB,4kB,128kB,4,42714641
16kB,4kB,128kB,8,42546499
16kB,4kB,128kB,16,42472280
16kB,4kB,128kB,32,47007548
16kB,4kB,256kB,2,42857102
16kB,4kB,256kB,4,42645892
16kB,4kB,256kB,8,42476422
16kB,4kB,256kB,16,42474050
16kB,4kB,256kB,32,46993497
16kB,4kB,512kB,2,42893891
16kB,4kB,512kB,4,42676950
16kB,4kB,512kB,8,42515354
16kB,4kB,512kB,16,42509141
16kB,4kB,512kB,32,47017123
16kB,4kB,1024kB,2,42901853
16kB,4kB,1024kB,4,42717181
16kB,4kB,1024kB,8,42527113
16kB,4kB,1024kB,16,42484175
16kB,4kB,1024kB,32,47036600
32kB,4kB,128kB,2,42553573
32kB,4kB,128kB,4,42331514
32kB,4kB,128kB,8,42246795
32kB,4kB,128kB,16,42146735
32kB,4kB,128kB,32,46612272
32kB,4kB,256kB,2,42545793
32kB,4kB,256kB,4,42339463
32kB,4kB,256kB,8,42189009
32kB,4kB,256kB,16,42138900
32kB,4kB,256kB,32,46620597
32kB,4kB,512kB,2,42523447
32kB,4kB,512kB,4,42315270
32kB,4kB,512kB,8,42165602
32kB,4kB,512kB,16,42118938
32kB,4kB,512kB,32,46612717
32kB,4kB,1024kB,2,42543990
32kB,4kB,1024kB,4,42322556
32kB,4kB,1024kB,8,42181175
32kB,4kB,1024kB,16,42142206
32kB,4kB,1024kB,32,46658639
64kB,4kB,128kB,2,42737932
64kB,4kB,128kB,4,42527543
64kB,4kB,128kB,8,42356718
64kB,4kB,128kB,16,42308275
64kB,4kB,128kB,32,46855591
64kB,4kB,256kB,2,42538000
64kB,4kB,256kB,4,42311696
64kB,4kB,256kB,8,42183907
64kB,4kB,256kB,16,42147549
64kB,4kB,256kB,32,46612272
64kB,4kB,512kB,2,42523776
64kB,4kB,512kB,4,42299214
64kB,4kB,512kB,8,42167004
64kB,4kB,512kB,16,42131976
64kB,4kB,512kB,32,46612556
64kB,4kB,1024kB,2,42540783
64kB,4kB,1024kB,4,42322556
64kB,4kB,1024kB,8,42176441
64kB,4kB,1024kB,16,42149285
64kB,4kB,1024kB,32,46646420
2kB,8kB,128kB,2,60026111
2kB,8kB,128kB,4,59833449
2kB,8kB,128kB,8,59682892
2kB,8kB,128kB,16,59588559
2kB,8kB,128kB,32,59427801
2kB,8kB,256kB,2,60002752
2kB,8kB,256kB,4,59800397
2kB,8kB,256kB,8,59655029
2kB,8kB,256kB,16,59562842
2kB,8kB,256kB,32,59411598
2kB,8kB,512kB,2,59993424
2kB,8kB,512kB,4,59809870
2kB,8kB,512kB,8,59659014
2kB,8kB,512kB,16,59566865
2kB,8kB,512kB,32,59394093
2kB,8kB,1024kB,2,59993572
2kB,8kB,1024kB,4,59804736
2kB,8kB,1024kB,8,59663071
2kB,8kB,1024kB,16,59584961
2kB,8kB,1024kB,32,59400295
4kB,8kB,128kB,2,59918046
4kB,8kB,128kB,4,59729676
4kB,8kB,128kB,8,59568822
4kB,8kB,128kB,16,59473687
4kB,8kB,128kB,32,59281539
4kB,8kB,256kB,2,59900199
4kB,8kB,256kB,4,59698722
4kB,8kB,256kB,8,59557440
4kB,8kB,256kB,16,59459978
4kB,8kB,256kB,32,59268200
4kB,8kB,512kB,2,59866714
4kB,8kB,512kB,4,59673059
4kB,8kB,512kB,8,59528734
4kB,8kB,512kB,16,59440722
4kB,8kB,512kB,32,59260450
4kB,8kB,1024kB,2,59857358
4kB,8kB,1024kB,4,59671473
4kB,8kB,1024kB,8,59536520
4kB,8kB,1024kB,16,59455330
4kB,8kB,1024kB,32,59286673
8kB,8kB,128kB,2,59815325
8kB,8kB,128kB,4,59622462
8kB,8kB,128kB,8,59465548
8kB,8kB,128kB,16,59377532
8kB,8kB,128kB,32,59241019
8kB,8kB,256kB,2,59807539
8kB,8kB,256kB,4,59622674
8kB,8kB,256kB,8,59465405
8kB,8kB,256kB,16,59366499
8kB,8kB,256kB,32,59231817
8kB,8kB,512kB,2,59782495
8kB,8kB,512kB,4,59589715
8kB,8kB,512kB,8,59443606
8kB,8kB,512kB,16,59358173
8kB,8kB,512kB,32,59224398
8kB,8kB,1024kB,2,59791966
8kB,8kB,1024kB,4,59606499
8kB,8kB,1024kB,8,59463234
8kB,8kB,1024kB,16,59381269
8kB,8kB,1024kB,32,59241947
16kB,8kB,128kB,2,42920966
16kB,8kB,128kB,4,42731448
16kB,8kB,128kB,8,42544584
16kB,8kB,128kB,16,42469248
16kB,8kB,128kB,32,42315832
16kB,8kB,256kB,2,42906656
16kB,8kB,256kB,4,42713131
16kB,8kB,256kB,8,42527519
16kB,8kB,256kB,16,42454808
16kB,8kB,256kB,32,42344567
16kB,8kB,512kB,2,42886105
16kB,8kB,512kB,4,42669129
16kB,8kB,512kB,8,42504306
16kB,8kB,512kB,16,42434707
16kB,8kB,512kB,32,42369014
16kB,8kB,1024kB,2,42901402
