L1D_cache_size,L1I_cache_size,L2_cache_size,unrolling_factor,number of cycles,L1I_KB,L1D_KB,L2_KB,total_Memory_KB,exec_time_cc
2kB,2kB,128kB,2,60074572,2,2,128,132,60074572
2kB,2kB,128kB,4,59887203,2,2,128,132,59887203
2kB,2kB,128kB,8,59724828,2,2,128,132,59724828
2kB,2kB,128kB,16,64568544,2,2,128,132,64568544
2kB,2kB,128kB,32,65910108,2,2,128,132,65910108
2kB,2kB,256kB,2,60057623,2,2,256,260,60057623
2kB,2kB,256kB,4,59856952,2,2,256,260,59856952
2kB,2kB,256kB,8,59709751,2,2,256,260,59709751
2kB,2kB,256kB,16,64552303,2,2,256,260,64552303
2kB,2kB,256kB,32,65901025,2,2,256,260,65901025
2kB,2kB,512kB,2,60038914,2,2,512,516,60038914
2kB,2kB,512kB,4,59849090,2,2,512,516,59849090
2kB,2kB,512kB,8,59688054,2,2,512,516,59688054
2kB,2kB,512kB,16,64541170,2,2,512,516,64541170
2kB,2kB,512kB,32,65893832,2,2,512,516,65893832
2kB,2kB,1024kB,2,60052826,2,2,1024,1028,60052826
2kB,2kB,1024kB,4,59867482,2,2,1024,1028,59867482
2kB,2kB,1024kB,8,59725550,2,2,1024,1028,59725550
2kB,2kB,1024kB,16,64588649,2,2,1024,1028,64588649
2kB,2kB,1024kB,32,65884428,2,2,1024,1028,65884428
4kB,2kB,128kB,2,59973831,2,4,128,134,59973831
4kB,2kB,128kB,4,59786300,2,4,128,134,59786300
4kB,2kB,128kB,8,59623577,2,4,128,134,59623577
4kB,2kB,128kB,16,64469007,2,4,128,134,64469007
4kB,2kB,128kB,32,65766011,2,4,128,134,65766011
4kB,2kB,256kB,2,59955045,2,4,256,262,59955045
4kB,2kB,256kB,4,59764149,2,4,256,262,59764149
4kB,2kB,256kB,8,59612108,2,4,256,262,59612108
4kB,2kB,256kB,16,64450101,2,4,256,262,64450101
4kB,2kB,256kB,32,65753408,2,4,256,262,65753408
4kB,2kB,512kB,2,59928792,2,4,512,518,59928792
4kB,2kB,512kB,4,59749304,2,4,512,518,59749304
4kB,2kB,512kB,8,59579241,2,4,512,518,59579241
4kB,2kB,512kB,16,64433528,2,4,512,518,64433528
4kB,2kB,512kB,32,65760993,2,4,512,518,65760993
4kB,2kB,1024kB,2,59912228,2,4,1024,1030,59912228
4kB,2kB,1024kB,4,59726312,2,4,1024,1030,59726312
4kB,2kB,1024kB,8,59581738,2,4,1024,1030,59581738
4kB,2kB,1024kB,16,64467540,2,4,1024,1030,64467540
4kB,2kB,1024kB,32,65767218,2,4,1024,1030,65767218
8kB,2kB,128kB,2,59874187,2,8,128,138,59874187
8kB,2kB,128kB,4,59680688,2,8,128,138,59680688
8kB,2kB,128kB,8,59528734,2,8,128,138,59528734
8kB,2kB,128kB,16,64369296,2,8,128,138,64369296
8kB,2kB,128kB,32,65724642,2,8,128,138,65724642
8kB,2kB,256kB,2,59858596,2,8,256,266,59858596
8kB,2kB,256kB,4,59667577,2,8,256,266,59667577
8kB,2kB,256kB,8,59509736,2,8,256,266,59509736
8kB,2kB,256kB,16,64353313,2,8,256,266,64353313
8kB,2kB,256kB,32,65716318,2,8,256,266,65716318
8kB,2kB,512kB,2,59838913,2,8,512,522,59838913
8kB,2kB,512kB,4,59655974,2,8,512,522,59655974
8kB,2kB,512kB,8,59499417,2,8,512,522,59499417
8kB,2kB,512kB,16,64344982,2,8,512,522,64344982
8kB,2kB,512kB,32,65707426,2,8,512,522,65707426
8kB,2kB,1024kB,2,59846965,2,8,1024,1034,59846965
8kB,2kB,1024kB,4,59661306,2,8,1024,1034,59661306
8kB,2kB,1024kB,8,59518151,2,8,1024,1034,59518151
8kB,2kB,1024kB,16,64395999,2,8,1024,1034,64395999
8kB,2kB,1024kB,32,65732001,2,8,1024,1034,65732001
16kB,2kB,128kB,2,42968165,2,16,128,146,42968165
16kB,2kB,128kB,4,42778400,2,16,128,146,42778400
16kB,2kB,128kB,8,42591707,2,16,128,146,42591707
16kB,2kB,128kB,16,47531800,2,16,128,146,47531800
16kB,2kB,128kB,32,48890592,2,16,128,146,48890592
16kB,2kB,256kB,2,42963967,2,16,256,274,42963967
16kB,2kB,256kB,4,42768945,2,16,256,274,42768945
16kB,2kB,256kB,8,42583486,2,16,256,274,42583486
16kB,2kB,256kB,16,47522132,2,16,256,274,47522132
16kB,2kB,256kB,32,48879801,2,16,256,274,48879801
