l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles,L1I_KB,L1D_KB,L2_KB,totalMemoryKB,latencyCC
2kB,2kB,128kB,8,59724828,2,2,128,132,59724828
16kB,2kB,128kB,8,42591707,2,16,128,146,42591707
2kB,4kB,128kB,16,59579732,4,2,128,134,59579732
4kB,4kB,128kB,16,59484646,4,4,128,136,59484646
16kB,4kB,128kB,16,42472280,4,16,128,148,42472280
32kB,4kB,128kB,16,42146735,4,32,128,164,42146735
2kB,8kB,128kB,32,59427801,8,2,128,138,59427801
4kB,8kB,128kB,32,59281539,8,4,128,140,59281539
8kB,8kB,128kB,32,59241019,8,8,128,144,59241019
16kB,8kB,128kB,32,42315832,8,16,128,152,42315832
32kB,8kB,128kB,32,41928215,8,32,128,168,41928215
16kB,16kB,128kB,32,42300132,16,16,128,160,42300132
32kB,16kB,128kB,32,41912388,16,32,128,176,41912388
64kB,16kB,512kB,32,41889209,16,64,512,592,41889209
32kB,32kB,128kB,32,41898540,32,32,128,192,41898540
32kB,32kB,256kB,32,41896021,32,32,256,320,41896021
64kB,32kB,256kB,32,41892206,32,64,256,352,41892206
64kB,32kB,512kB,32,41889106,32,64,512,608,41889106
64kB,64kB,512kB,32,41888238,64,64,512,640,41888238
