l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles,L1I_KB,L1D_KB,L2_KB,totalMemoryKB,latencyCC
2kB,2kB,128kB,4,59887203,2,2,128,132,59887203
4kB,2kB,128kB,4,59786300,2,4,128,134,59786300
8kB,2kB,128kB,4,59680688,2,8,128,138,59680688
16kB,2kB,128kB,4,42778400,2,16,128,146,42778400
32kB,2kB,128kB,4,42386266,2,32,128,162,42386266
4kB,4kB,128kB,4,59730752,4,4,128,136,59730752
8kB,4kB,128kB,4,59638034,4,8,128,140,59638034
16kB,4kB,128kB,4,42714641,4,16,128,148,42714641
32kB,4kB,128kB,4,42331514,4,32,128,164,42331514
8kB,8kB,128kB,4,59622462,8,8,128,144,59622462
16kB,16kB,128kB,4,42691594,16,16,128,160,42691594
32kB,16kB,128kB,4,42308083,16,32,128,176,42308083
32kB,16kB,256kB,4,42292503,16,32,256,304,42292503
32kB,16kB,512kB,4,42284701,16,32,512,560,42284701
64kB,16kB,512kB,4,42276915,16,64,512,592,42276915
32kB,32kB,128kB,4,42307500,32,32,128,192,42307500
32kB,64kB,128kB,4,42304050,64,32,128,224,42304050
32kB,64kB,256kB,4,42291058,64,32,256,352,42291058
32kB,64kB,512kB,4,42274310,64,32,512,608,42274310
64kB,64kB,512kB,4,42267700,64,64,512,640,42267700
